2024-11-16 23:15:00 : ===================== 2024-11-16T23:15:00.750593 =====================
2024-11-16 23:15:00 : ===================== FINE-TUNING ON PROMPT 7 =====================
2024-11-16 23:15:00 : Settings: Namespace(data='init/asap_5_splits.csv', bert_model_path='../../../ix/ix_models/Multi-Scale-BERT-AES-Models/p8_3', chunk_sizes='90_30_130_10', prompt=[7], batch_size=16, epochs=80, sample=-1, learning_rate=6e-05, result_file='results/finetune/p7.txt', save_model='../../../ix/ix_models/Multi-Scale-BERT-AES-Models/p7/p7.pt', device='cuda', log=PosixPath('logs/finetune-p7.log'), comment='Using google-bert/bert-base-uncased. Removed the direct path to their finetuned word and chunk models.')
2024-11-16 23:15:00 : Additional Comments: Using google-bert/bert-base-uncased. Removed the direct path to their finetuned word and chunk models.
2024-11-16 23:15:03 : Train/Eval/Test: 918/337/314
2024-11-16 23:15:03 : Started training loop for p7.pt
2024-11-16 23:15:07 : 1/80 | 0/58: 99.64878
2024-11-16 23:15:08 : 1/80 | 1/58: 81.06409
2024-11-16 23:15:10 : 1/80 | 2/58: 67.37345
2024-11-16 23:15:12 : 1/80 | 3/58: 54.88789
2024-11-16 23:15:13 : 1/80 | 4/58: 53.01126
2024-11-16 23:15:15 : 1/80 | 5/58: 45.65558
2024-11-16 23:15:16 : 1/80 | 6/58: 42.63826
2024-11-16 23:15:18 : 1/80 | 7/58: 40.18073
2024-11-16 23:15:20 : 1/80 | 8/58: 32.52915
2024-11-16 23:15:21 : 1/80 | 9/58: 25.55439
2024-11-16 23:15:23 : 1/80 | 10/58: 19.13938
2024-11-16 23:15:24 : 1/80 | 11/58: 17.00902
2024-11-16 23:15:26 : 1/80 | 12/58: 14.56726
2024-11-16 23:15:27 : 1/80 | 13/58: 15.59573
2024-11-16 23:15:29 : 1/80 | 14/58: 18.08274
2024-11-16 23:15:31 : 1/80 | 15/58: 16.15952
2024-11-16 23:15:32 : 1/80 | 16/58: 16.89929
2024-11-16 23:15:34 : 1/80 | 17/58: 16.11078
2024-11-16 23:15:35 : 1/80 | 18/58: 14.65627
2024-11-16 23:15:37 : 1/80 | 19/58: 13.36960
2024-11-16 23:15:38 : 1/80 | 20/58: 11.33266
2024-11-16 23:15:40 : 1/80 | 21/58: 10.18801
2024-11-16 23:15:42 : 1/80 | 22/58: 11.17921
2024-11-16 23:15:43 : 1/80 | 23/58: 12.96549
2024-11-16 23:15:45 : 1/80 | 24/58: 13.26527
2024-11-16 23:15:46 : 1/80 | 25/58: 12.56170
2024-11-16 23:15:48 : 1/80 | 26/58: 10.95673
2024-11-16 23:15:49 : 1/80 | 27/58: 10.97224
2024-11-16 23:15:51 : 1/80 | 28/58: 11.00697
2024-11-16 23:15:53 : 1/80 | 29/58: 10.06628
2024-11-16 23:15:54 : 1/80 | 30/58: 8.29560
2024-11-16 23:15:56 : 1/80 | 31/58: 6.88074
2024-11-16 23:15:57 : 1/80 | 32/58: 7.29498
2024-11-16 23:15:59 : 1/80 | 33/58: 6.73511
2024-11-16 23:16:01 : 1/80 | 34/58: 10.08975
2024-11-16 23:16:02 : 1/80 | 35/58: 6.89856
2024-11-16 23:16:04 : 1/80 | 36/58: 10.03452
2024-11-16 23:16:05 : 1/80 | 37/58: 8.23377
2024-11-16 23:16:07 : 1/80 | 38/58: 6.18403
2024-11-16 23:16:09 : 1/80 | 39/58: 5.83772
2024-11-16 23:16:10 : 1/80 | 40/58: 3.60869
2024-11-16 23:16:12 : 1/80 | 41/58: 2.58837
2024-11-16 23:16:13 : 1/80 | 42/58: 2.89439
2024-11-16 23:16:15 : 1/80 | 43/58: 2.84905
2024-11-16 23:16:17 : 1/80 | 44/58: 2.74030
2024-11-16 23:16:18 : 1/80 | 45/58: 2.27444
2024-11-16 23:16:20 : 1/80 | 46/58: 1.69601
2024-11-16 23:16:21 : 1/80 | 47/58: 1.83270
2024-11-16 23:16:23 : 1/80 | 48/58: 1.33274
2024-11-16 23:16:24 : 1/80 | 49/58: 0.87301
2024-11-16 23:16:26 : 1/80 | 50/58: 2.05780
2024-11-16 23:16:28 : 1/80 | 51/58: 1.47647
2024-11-16 23:16:29 : 1/80 | 52/58: 1.66143
2024-11-16 23:16:31 : 1/80 | 53/58: 1.29265
2024-11-16 23:16:32 : 1/80 | 54/58: 0.61936
2024-11-16 23:16:34 : 1/80 | 55/58: 0.83766
2024-11-16 23:16:35 : 1/80 | 56/58: 1.13998
2024-11-16 23:16:37 : 1/80 | 57/58: 0.80757
2024-11-19 02:22:36 : ===================== 2024-11-19T02:22:36.534379 =====================
2024-11-19 02:22:36 : ===================== FINE-TUNING ON PROMPT 7 =====================
2024-11-19 02:22:36 : Settings: Namespace(data='init/asap_5_splits.csv', bert_model_path='../../../ix/ix_models/Multi-Scale-BERT-AES-Models/p8_3', chunk_sizes='90_30_130_10', prompt=[7], batch_size=16, epochs=80, sample=-1, learning_rate=6e-05, result_file='results/finetune/p7.txt', save_model='../../../ix/ix_models/Multi-Scale-BERT-AES-Models/p7/p7.pt', device='cuda', log=PosixPath('logs/finetune-p7.log'), comment='Using google-bert/bert-base-uncased. Removed the direct path to their finetuned word and chunk models.')
2024-11-19 02:22:36 : Additional Comments: Using google-bert/bert-base-uncased. Removed the direct path to their finetuned word and chunk models.
2024-11-19 02:22:38 : Train/Eval/Test: 918/337/314
2024-11-19 02:22:38 : Started training loop for p7.pt
2024-11-19 02:22:41 : 1/80 | 1/58: 86.87634
2024-11-19 02:22:43 : 1/80 | 2/58: 73.20498
2024-11-19 02:22:44 : 1/80 | 3/58: 59.34642
2024-11-19 02:22:46 : 1/80 | 4/58: 46.17842
2024-11-19 02:22:48 : 1/80 | 5/58: 43.46697
2024-11-19 02:22:49 : 1/80 | 6/58: 35.61334
2024-11-19 02:22:51 : 1/80 | 7/58: 31.35165
2024-11-19 02:22:53 : 1/80 | 8/58: 29.54307
2024-11-19 02:22:55 : 1/80 | 9/58: 24.04281
2024-11-19 02:22:56 : 1/80 | 10/58: 18.86030
2024-11-19 02:22:58 : 1/80 | 11/58: 13.54453
2024-11-19 02:22:59 : 1/80 | 12/58: 12.93808
2024-11-19 02:23:01 : 1/80 | 13/58: 10.84388
2024-11-19 02:23:03 : 1/80 | 14/58: 11.98322
2024-11-19 02:23:05 : 1/80 | 15/58: 13.90551
2024-11-19 02:23:06 : 1/80 | 16/58: 13.57204
2024-11-19 02:23:08 : 1/80 | 17/58: 11.91502
2024-11-19 02:23:10 : 1/80 | 18/58: 12.69638
2024-11-19 02:23:11 : 1/80 | 19/58: 11.50960
2024-11-19 02:23:13 : 1/80 | 20/58: 10.29930
2024-11-19 02:23:15 : 1/80 | 21/58: 9.16960
2024-11-19 02:23:16 : 1/80 | 22/58: 8.01340
2024-11-19 02:23:18 : 1/80 | 23/58: 9.09202
2024-11-19 02:23:20 : 1/80 | 24/58: 10.53797
2024-11-19 02:23:21 : 1/80 | 25/58: 11.18131
2024-11-19 02:23:23 : 1/80 | 26/58: 9.40161
2024-11-19 02:23:25 : 1/80 | 27/58: 8.75318
2024-11-19 02:23:26 : 1/80 | 28/58: 9.33780
2024-11-19 02:23:28 : 1/80 | 29/58: 8.76394
2024-11-19 02:23:30 : 1/80 | 30/58: 7.93765
2024-11-19 02:23:31 : 1/80 | 31/58: 6.06975
2024-11-19 02:23:33 : 1/80 | 32/58: 5.02656
2024-11-19 02:23:35 : 1/80 | 33/58: 5.80403
2024-11-19 02:23:36 : 1/80 | 34/58: 4.77062
2024-11-19 02:23:38 : 1/80 | 35/58: 7.49240
2024-11-19 02:23:40 : 1/80 | 36/58: 5.49285
2024-11-19 02:23:41 : 1/80 | 37/58: 6.91080
2024-11-19 02:23:43 : 1/80 | 38/58: 5.22268
2024-11-19 02:23:45 : 1/80 | 39/58: 4.17766
2024-11-19 02:23:46 : 1/80 | 40/58: 3.21701
2024-11-19 02:23:48 : 1/80 | 41/58: 2.27130
2024-11-19 02:23:50 : 1/80 | 42/58: 1.87654
2024-11-19 02:23:51 : 1/80 | 43/58: 1.40867
2024-11-19 02:23:53 : 1/80 | 44/58: 1.67001
2024-11-19 02:23:55 : 1/80 | 45/58: 1.55421
2024-11-19 02:23:56 : 1/80 | 46/58: 1.31295
2024-11-19 02:23:58 : 1/80 | 47/58: 0.80561
2024-11-19 02:24:00 : 1/80 | 48/58: 1.02497
2024-11-19 02:24:01 : 1/80 | 49/58: 0.93305
2024-11-19 02:24:03 : 1/80 | 50/58: 0.78745
2024-11-19 02:24:05 : 1/80 | 51/58: 1.59116
2024-11-19 02:24:06 : 1/80 | 52/58: 0.93693
2024-11-19 02:24:08 : 1/80 | 53/58: 1.79200
2024-11-19 02:24:10 : 1/80 | 54/58: 1.45657
2024-11-19 02:24:11 : 1/80 | 55/58: 1.24585
2024-11-19 02:24:13 : 1/80 | 56/58: 0.82606
2024-11-19 02:24:15 : 1/80 | 57/58: 0.50895
2024-11-19 02:24:16 : 1/80 | 58/58: 0.30130
2024-11-19 02:24:47 : 1: Evaluation loss: 4.74237 | Pearson: 0.76500 | QWK:  0.76300
2024-11-19 02:24:47 : Saving model p7.pt on epoch 1 (4.74237 is the new best loss!)
2024-11-19 02:24:51 : 2/80 | 1/58: 4.69484
2024-11-19 02:24:52 : 2/80 | 2/58: 2.90059
2024-11-19 02:24:54 : 2/80 | 3/58: 1.72732
2024-11-19 02:24:56 : 2/80 | 4/58: 1.94948
2024-11-19 02:24:57 : 2/80 | 5/58: 2.91364
2024-11-19 02:24:59 : 2/80 | 6/58: 1.80889
2024-11-19 02:25:01 : 2/80 | 7/58: 1.69689
2024-11-19 02:25:02 : 2/80 | 8/58: 1.47726
2024-11-19 02:25:04 : 2/80 | 9/58: 1.55445
2024-11-19 02:25:06 : 2/80 | 10/58: 1.13265
2024-11-19 02:25:07 : 2/80 | 11/58: 1.38480
2024-11-19 02:25:09 : 2/80 | 12/58: 1.92861
2024-11-19 02:25:11 : 2/80 | 13/58: 1.52273
2024-11-19 02:25:13 : 2/80 | 14/58: 1.71940
2024-11-19 02:25:14 : 2/80 | 15/58: 1.88626
2024-11-19 02:25:16 : 2/80 | 16/58: 3.11908
2024-11-19 02:25:18 : 2/80 | 17/58: 1.32893
2024-11-19 02:25:19 : 2/80 | 18/58: 0.76706
2024-11-19 02:25:21 : 2/80 | 19/58: 0.88356
2024-11-19 02:25:23 : 2/80 | 20/58: 0.62521
2024-11-19 02:25:24 : 2/80 | 21/58: 0.63741
2024-11-19 02:25:26 : 2/80 | 22/58: 0.63024
2024-11-19 02:25:28 : 2/80 | 23/58: 0.71494
2024-11-19 02:25:29 : 2/80 | 24/58: 1.33105
2024-11-19 02:25:31 : 2/80 | 25/58: 0.90653
2024-11-19 02:25:33 : 2/80 | 26/58: 0.93396
2024-11-19 02:25:34 : 2/80 | 27/58: 0.80705
2024-11-19 02:25:36 : 2/80 | 28/58: 0.51030
2024-11-19 02:25:38 : 2/80 | 29/58: 0.59444
2024-11-19 02:25:39 : 2/80 | 30/58: 0.59775
2024-11-19 02:25:41 : 2/80 | 31/58: 0.58829
2024-11-19 02:25:43 : 2/80 | 32/58: 0.87993
2024-11-19 02:25:44 : 2/80 | 33/58: 0.63562
2024-11-19 02:25:46 : 2/80 | 34/58: 0.53630
2024-11-19 02:25:48 : 2/80 | 35/58: 0.39341
2024-11-19 02:25:49 : 2/80 | 36/58: 0.66693
2024-11-19 02:25:51 : 2/80 | 37/58: 0.32941
2024-11-19 02:25:53 : 2/80 | 38/58: 0.39676
2024-11-19 02:25:54 : 2/80 | 39/58: 0.53725
2024-11-19 02:25:56 : 2/80 | 40/58: 0.29120
2024-11-19 02:25:58 : 2/80 | 41/58: 0.32051
2024-11-19 02:26:00 : 2/80 | 42/58: 0.29843
2024-11-19 02:26:01 : 2/80 | 43/58: 0.20093
2024-11-19 02:26:03 : 2/80 | 44/58: 0.28139
2024-11-19 02:26:05 : 2/80 | 45/58: 0.23952
2024-11-19 02:26:06 : 2/80 | 46/58: 0.27779
2024-11-19 02:26:08 : 2/80 | 47/58: 0.30580
2024-11-19 02:26:10 : 2/80 | 48/58: 0.24250
2024-11-19 02:26:11 : 2/80 | 49/58: 0.15430
2024-11-19 02:26:13 : 2/80 | 50/58: 0.25075
2024-11-19 02:26:15 : 2/80 | 51/58: 0.37849
2024-11-19 02:26:16 : 2/80 | 52/58: 0.34674
2024-11-19 02:26:18 : 2/80 | 53/58: 0.60472
2024-11-19 02:26:20 : 2/80 | 54/58: 0.40216
2024-11-19 02:26:21 : 2/80 | 55/58: 0.31654
2024-11-19 02:26:23 : 2/80 | 56/58: 0.48058
2024-11-19 02:26:25 : 2/80 | 57/58: 0.68032
2024-11-19 02:26:26 : 2/80 | 58/58: 0.25253
2024-11-19 02:26:57 : 2: Evaluation loss: 4.49822 | Pearson: 0.76100 | QWK:  0.72800
2024-11-19 02:26:57 : Saving model p7.pt on epoch 2 (4.49822 is the new best loss!)
2024-11-19 02:27:00 : 3/80 | 1/58: 1.19261
2024-11-19 02:27:01 : 3/80 | 2/58: 1.07095
2024-11-19 02:27:03 : 3/80 | 3/58: 0.56456
2024-11-19 02:27:05 : 3/80 | 4/58: 0.62595
2024-11-19 02:27:07 : 3/80 | 5/58: 0.91320
2024-11-19 02:27:08 : 3/80 | 6/58: 0.83144
2024-11-19 02:27:10 : 3/80 | 7/58: 0.44085
2024-11-19 02:27:12 : 3/80 | 8/58: 0.53473
2024-11-19 02:27:13 : 3/80 | 9/58: 0.45170
2024-11-19 02:27:15 : 3/80 | 10/58: 0.58926
2024-11-19 02:27:17 : 3/80 | 11/58: 0.47170
2024-11-19 02:27:18 : 3/80 | 12/58: 0.37971
2024-11-19 02:27:20 : 3/80 | 13/58: 0.39983
2024-11-19 02:27:22 : 3/80 | 14/58: 0.36617
2024-11-19 02:27:23 : 3/80 | 15/58: 0.43391
2024-11-19 02:27:25 : 3/80 | 16/58: 0.35325
2024-11-19 02:27:27 : 3/80 | 17/58: 0.46252
2024-11-19 02:27:29 : 3/80 | 18/58: 0.23605
2024-11-19 02:27:30 : 3/80 | 19/58: 0.22560
2024-11-19 02:27:32 : 3/80 | 20/58: 0.41564
2024-11-19 02:27:34 : 3/80 | 21/58: 0.16434
2024-11-19 02:27:35 : 3/80 | 22/58: 0.25035
2024-11-19 02:27:37 : 3/80 | 23/58: 0.36922
2024-11-19 02:27:39 : 3/80 | 24/58: 0.45702
2024-11-19 02:27:40 : 3/80 | 25/58: 0.24351
2024-11-19 02:27:42 : 3/80 | 26/58: 0.31868
2024-11-19 02:27:44 : 3/80 | 27/58: 0.45596
2024-11-19 02:27:45 : 3/80 | 28/58: 0.33982
2024-11-19 02:27:47 : 3/80 | 29/58: 0.23003
2024-11-19 02:27:49 : 3/80 | 30/58: 0.26565
2024-11-19 02:27:50 : 3/80 | 31/58: 0.27277
2024-11-19 02:27:52 : 3/80 | 32/58: 0.37106
2024-11-19 02:27:54 : 3/80 | 33/58: 0.38620
2024-11-19 02:27:55 : 3/80 | 34/58: 0.24623
2024-11-19 02:27:57 : 3/80 | 35/58: 0.33599
2024-11-19 02:27:59 : 3/80 | 36/58: 0.33446
2024-11-19 02:28:00 : 3/80 | 37/58: 0.39155
2024-11-19 02:28:02 : 3/80 | 38/58: 0.57242
2024-11-19 02:28:04 : 3/80 | 39/58: 0.17442
2024-11-19 02:28:05 : 3/80 | 40/58: 0.12814
2024-11-19 02:28:07 : 3/80 | 41/58: 0.40056
2024-11-19 02:28:09 : 3/80 | 42/58: 0.26246
2024-11-19 02:28:10 : 3/80 | 43/58: 0.20004
2024-11-19 02:28:12 : 3/80 | 44/58: 0.19306
2024-11-19 02:28:14 : 3/80 | 45/58: 0.44219
2024-11-19 02:28:16 : 3/80 | 46/58: 0.46949
2024-11-19 02:28:17 : 3/80 | 47/58: 0.50897
2024-11-19 02:28:19 : 3/80 | 48/58: 0.36072
2024-11-19 02:28:21 : 3/80 | 49/58: 0.27641
2024-11-19 02:28:22 : 3/80 | 50/58: 0.17498
2024-11-19 02:28:24 : 3/80 | 51/58: 0.20169
2024-11-19 02:28:25 : 3/80 | 52/58: 0.23625
2024-11-19 02:28:27 : 3/80 | 53/58: 0.14346
