2024-11-16 23:15:00 : ===================== 2024-11-16T23:15:00.980929 =====================
2024-11-16 23:15:00 : ===================== FINE-TUNING ON PROMPT 4 =====================
2024-11-16 23:15:00 : Settings: Namespace(data='init/asap_5_splits.csv', bert_model_path='../../../ix/ix_models/Multi-Scale-BERT-AES-Models/p8_3', chunk_sizes='90_30_130_10', prompt=[4], batch_size=16, epochs=80, sample=-1, learning_rate=6e-05, result_file='results/finetune/p4.txt', save_model='../../../ix/ix_models/Multi-Scale-BERT-AES-Models/p4/p4.pt', device='cuda', log=PosixPath('logs/finetune-p4.log'), comment='Using google-bert/bert-base-uncased. Removed the direct path to their finetuned word and chunk models.')
2024-11-16 23:15:00 : Additional Comments: Using google-bert/bert-base-uncased. Removed the direct path to their finetuned word and chunk models.
2024-11-16 23:15:04 : Train/Eval/Test: 1057/359/355
2024-11-16 23:15:04 : Started training loop for p4.pt
2024-11-16 23:15:08 : 1/80 | 0/67: 0.30412
2024-11-16 23:15:10 : 1/80 | 1/67: 0.22929
2024-11-16 23:15:11 : 1/80 | 2/67: 0.32720
2024-11-16 23:15:12 : 1/80 | 3/67: 0.13677
2024-11-16 23:15:14 : 1/80 | 4/67: 0.12384
2024-11-16 23:15:15 : 1/80 | 5/67: 0.14365
2024-11-16 23:15:17 : 1/80 | 6/67: 0.15633
2024-11-16 23:15:18 : 1/80 | 7/67: 0.14098
2024-11-16 23:15:20 : 1/80 | 8/67: 0.08080
2024-11-16 23:15:21 : 1/80 | 9/67: 0.06232
2024-11-16 23:15:23 : 1/80 | 10/67: 0.07719
2024-11-16 23:15:24 : 1/80 | 11/67: 0.07007
2024-11-16 23:15:26 : 1/80 | 12/67: 0.12105
2024-11-16 23:15:27 : 1/80 | 13/67: 0.08178
2024-11-16 23:15:29 : 1/80 | 14/67: 0.07782
2024-11-16 23:15:30 : 1/80 | 15/67: 0.08850
2024-11-16 23:15:32 : 1/80 | 16/67: 0.11331
2024-11-16 23:15:33 : 1/80 | 17/67: 0.18985
2024-11-16 23:15:35 : 1/80 | 18/67: 0.23459
2024-11-16 23:15:36 : 1/80 | 19/67: 0.28570
2024-11-16 23:15:37 : 1/80 | 20/67: 0.19899
2024-11-16 23:15:39 : 1/80 | 21/67: 0.19536
2024-11-16 23:15:41 : 1/80 | 22/67: 0.16025
2024-11-16 23:15:42 : 1/80 | 23/67: 0.17023
2024-11-16 23:15:43 : 1/80 | 24/67: 0.18548
2024-11-16 23:15:45 : 1/80 | 25/67: 0.20139
2024-11-16 23:15:46 : 1/80 | 26/67: 0.31733
2024-11-16 23:15:48 : 1/80 | 27/67: 0.24875
2024-11-16 23:15:49 : 1/80 | 28/67: 0.22211
2024-11-16 23:15:51 : 1/80 | 29/67: 0.13590
2024-11-16 23:15:52 : 1/80 | 30/67: 0.16368
2024-11-16 23:15:54 : 1/80 | 31/67: 0.13471
2024-11-16 23:15:55 : 1/80 | 32/67: 0.07005
