2024-11-16 23:15:00 : ===================== 2024-11-16T23:15:00.744026 =====================
2024-11-16 23:15:00 : ===================== FINE-TUNING ON PROMPT 8 =====================
2024-11-16 23:15:00 : Settings: Namespace(data='init/asap_5_splits.csv', bert_model_path='../../../ix/ix_models/Multi-Scale-BERT-AES-Models/p8_3', chunk_sizes='90_30_130_10', prompt=[8], batch_size=16, epochs=80, sample=-1, learning_rate=6e-05, result_file='results/finetune/p8.txt', save_model='../../../ix/ix_models/Multi-Scale-BERT-AES-Models/p8/p8.pt', device='cuda', log=PosixPath('logs/finetune-p8.log'), comment='Using google-bert/bert-base-uncased. Removed the direct path to their finetuned word and chunk models.')
2024-11-16 23:15:00 : Additional Comments: Using google-bert/bert-base-uncased. Removed the direct path to their finetuned word and chunk models.
2024-11-16 23:15:03 : Train/Eval/Test: 432/142/147
2024-11-16 23:15:03 : Started training loop for p8.pt
2024-11-16 23:15:08 : 1/80 | 0/28: 675.57660
2024-11-16 23:15:11 : 1/80 | 1/28: 612.79919
2024-11-16 23:15:14 : 1/80 | 2/28: 557.84137
2024-11-16 23:15:16 : 1/80 | 3/28: 502.80301
2024-11-16 23:15:19 : 1/80 | 4/28: 501.15784
2024-11-16 23:15:22 : 1/80 | 5/28: 451.34811
2024-11-16 23:15:24 : 1/80 | 6/28: 432.35010
2024-11-16 23:15:27 : 1/80 | 7/28: 386.80786
2024-11-16 23:15:30 : 1/80 | 8/28: 342.95093
2024-11-16 23:15:33 : 1/80 | 9/28: 341.43936
2024-11-16 23:15:36 : 1/80 | 10/28: 300.34637
2024-11-16 23:15:38 : 1/80 | 11/28: 291.70966
2024-11-16 23:15:41 : 1/80 | 12/28: 293.88068
2024-11-16 23:15:44 : 1/80 | 13/28: 305.71930
2024-11-16 23:15:47 : 1/80 | 14/28: 317.00766
2024-11-16 23:15:50 : 1/80 | 15/28: 286.26331
2024-11-16 23:15:52 : 1/80 | 16/28: 276.02881
2024-11-16 23:15:55 : 1/80 | 17/28: 260.80029
2024-11-16 23:15:58 : 1/80 | 18/28: 237.87907
2024-11-16 23:16:01 : 1/80 | 19/28: 219.83784
2024-11-16 23:16:03 : 1/80 | 20/28: 203.02362
2024-11-16 23:16:06 : 1/80 | 21/28: 200.00061
2024-11-16 23:16:09 : 1/80 | 22/28: 186.95224
2024-11-16 23:16:12 : 1/80 | 23/28: 180.00572
2024-11-16 23:16:15 : 1/80 | 24/28: 177.02419
2024-11-16 23:16:17 : 1/80 | 25/28: 171.24065
2024-11-16 23:16:20 : 1/80 | 26/28: 162.91092
2024-11-16 23:16:45 : 1: Evaluation loss: 128.22502 | Pearson: 0.39700 | QWK:  0.01700
2024-11-16 23:16:45 : Saving model p8.pt on epoch 1 (128.22502 is the new best loss!)
2024-11-16 23:16:49 : 2/80 | 0/28: 138.61662
2024-11-16 23:16:52 : 2/80 | 1/28: 127.98512
2024-11-16 23:16:55 : 2/80 | 2/28: 113.03143
2024-11-16 23:16:58 : 2/80 | 3/28: 97.10123
2024-11-16 23:17:00 : 2/80 | 4/28: 99.61822
2024-11-16 23:17:03 : 2/80 | 5/28: 88.14723
2024-11-16 23:17:06 : 2/80 | 6/28: 84.80311
2024-11-16 23:17:09 : 2/80 | 7/28: 67.97788
2024-11-16 23:17:11 : 2/80 | 8/28: 61.22717
2024-11-16 23:17:14 : 2/80 | 9/28: 59.60443
