2024-11-16 23:15:00 : ===================== 2024-11-16T23:15:00.248799 =====================
2024-11-16 23:15:00 : ===================== FINE-TUNING ON PROMPT 6 =====================
2024-11-16 23:15:00 : Settings: Namespace(data='init/asap_5_splits.csv', bert_model_path='../../../ix/ix_models/Multi-Scale-BERT-AES-Models/p8_3', chunk_sizes='90_30_130_10', prompt=[6], batch_size=16, epochs=80, sample=-1, learning_rate=6e-05, result_file='results/finetune/p6.txt', save_model='../../../ix/ix_models/Multi-Scale-BERT-AES-Models/p6/p6.pt', device='cuda', log=PosixPath('logs/finetune-p6.log'), comment='Using google-bert/bert-base-uncased. Removed the direct path to their finetuned word and chunk models.')
2024-11-16 23:15:00 : Additional Comments: Using google-bert/bert-base-uncased. Removed the direct path to their finetuned word and chunk models.
2024-11-16 23:15:02 : Train/Eval/Test: 1064/362/373
2024-11-16 23:15:02 : Started training loop for p6.pt
2024-11-16 23:15:06 : 1/80 | 0/67: 1.13159
2024-11-16 23:15:08 : 1/80 | 1/67: 0.45732
2024-11-16 23:15:09 : 1/80 | 2/67: 0.34818
2024-11-16 23:15:11 : 1/80 | 3/67: 0.22545
2024-11-16 23:15:13 : 1/80 | 4/67: 0.24723
2024-11-16 23:15:14 : 1/80 | 5/67: 0.20489
2024-11-16 23:15:16 : 1/80 | 6/67: 0.11001
2024-11-16 23:15:17 : 1/80 | 7/67: 0.13726
2024-11-16 23:15:19 : 1/80 | 8/67: 0.17399
2024-11-16 23:15:20 : 1/80 | 9/67: 0.12082
2024-11-16 23:15:22 : 1/80 | 10/67: 0.20046
2024-11-16 23:15:24 : 1/80 | 11/67: 0.15646
2024-11-16 23:15:25 : 1/80 | 12/67: 0.11585
2024-11-16 23:15:27 : 1/80 | 13/67: 0.12923
2024-11-16 23:15:28 : 1/80 | 14/67: 0.17677
2024-11-16 23:15:30 : 1/80 | 15/67: 0.12238
2024-11-16 23:15:32 : 1/80 | 16/67: 0.12895
2024-11-16 23:15:33 : 1/80 | 17/67: 0.03920
2024-11-16 23:15:35 : 1/80 | 18/67: 0.16385
2024-11-16 23:15:36 : 1/80 | 19/67: 0.13215
2024-11-16 23:15:38 : 1/80 | 20/67: 0.16984
2024-11-16 23:15:40 : 1/80 | 21/67: 0.18714
2024-11-16 23:15:41 : 1/80 | 22/67: 0.27659
2024-11-16 23:15:43 : 1/80 | 23/67: 0.12363
2024-11-16 23:15:44 : 1/80 | 24/67: 0.09782
2024-11-16 23:15:46 : 1/80 | 25/67: 0.11921
2024-11-16 23:15:47 : 1/80 | 26/67: 0.23365
2024-11-16 23:15:49 : 1/80 | 27/67: 0.14523
2024-11-16 23:15:51 : 1/80 | 28/67: 0.11859
2024-11-16 23:15:52 : 1/80 | 29/67: 0.16852
2024-11-16 23:15:54 : 1/80 | 30/67: 0.15063
2024-11-16 23:15:55 : 1/80 | 31/67: 0.14380
2024-11-16 23:15:57 : 1/80 | 32/67: 0.16982
2024-11-16 23:15:58 : 1/80 | 33/67: 0.08798
2024-11-16 23:16:00 : 1/80 | 34/67: 0.21577
2024-11-16 23:16:02 : 1/80 | 35/67: 0.12506
2024-11-16 23:16:03 : 1/80 | 36/67: 0.11110
2024-11-16 23:16:05 : 1/80 | 37/67: 0.05827
2024-11-16 23:16:06 : 1/80 | 38/67: 0.10592
2024-11-16 23:16:08 : 1/80 | 39/67: 0.10692
2024-11-16 23:16:10 : 1/80 | 40/67: 0.04889
2024-11-16 23:16:11 : 1/80 | 41/67: 0.13648
2024-11-16 23:16:13 : 1/80 | 42/67: 0.07241
2024-11-16 23:16:14 : 1/80 | 43/67: 0.06490
2024-11-16 23:16:16 : 1/80 | 44/67: 0.14202
2024-11-16 23:16:18 : 1/80 | 45/67: 0.13919
2024-11-16 23:16:19 : 1/80 | 46/67: 0.12779
2024-11-16 23:16:21 : 1/80 | 47/67: 0.07890
2024-11-16 23:16:22 : 1/80 | 48/67: 0.22355
2024-11-16 23:16:24 : 1/80 | 49/67: 0.17330
2024-11-16 23:16:25 : 1/80 | 50/67: 0.15521
2024-11-16 23:16:27 : 1/80 | 51/67: 0.20682
2024-11-16 23:16:29 : 1/80 | 52/67: 0.13261
2024-11-16 23:16:30 : 1/80 | 53/67: 0.13177
2024-11-16 23:16:32 : 1/80 | 54/67: 0.11426
2024-11-16 23:16:33 : 1/80 | 55/67: 0.09047
2024-11-16 23:16:35 : 1/80 | 56/67: 0.07036
2024-11-16 23:16:36 : 1/80 | 57/67: 0.10879
2024-11-16 23:16:38 : 1/80 | 58/67: 0.23471
2024-11-16 23:16:40 : 1/80 | 59/67: 0.13886
2024-11-16 23:16:41 : 1/80 | 60/67: 0.22833
2024-11-16 23:16:43 : 1/80 | 61/67: 0.19326
2024-11-16 23:16:44 : 1/80 | 62/67: 0.17155
2024-11-16 23:16:46 : 1/80 | 63/67: 0.08473
2024-11-16 23:16:47 : 1/80 | 64/67: 0.13287
2024-11-16 23:16:49 : 1/80 | 65/67: 0.10902
2024-11-16 23:16:51 : 1/80 | 66/67: 0.22630
2024-11-16 23:17:22 : 1: Evaluation loss: 0.18367 | Pearson: 0.78600 | QWK:  0.68900
2024-11-16 23:17:22 : Saving model p6.pt on epoch 1 (0.18367 is the new best loss!)
2024-11-16 23:17:25 : 2/80 | 0/67: 0.19090
2024-11-16 23:17:27 : 2/80 | 1/67: 0.17133
2024-11-16 23:17:28 : 2/80 | 2/67: 0.18992
2024-11-16 23:17:30 : 2/80 | 3/67: 0.11970
2024-11-16 23:17:32 : 2/80 | 4/67: 0.07980
2024-11-16 23:17:33 : 2/80 | 5/67: 0.10062
2024-11-16 23:17:35 : 2/80 | 6/67: 0.07489
2024-11-16 23:17:36 : 2/80 | 7/67: 0.11326
2024-11-16 23:17:38 : 2/80 | 8/67: 0.07092
2024-11-16 23:17:40 : 2/80 | 9/67: 0.05201
2024-11-16 23:17:41 : 2/80 | 10/67: 0.03846
2024-11-16 23:17:43 : 2/80 | 11/67: 0.07425
2024-11-16 23:17:44 : 2/80 | 12/67: 0.09967
2024-11-16 23:17:46 : 2/80 | 13/67: 0.03868
2024-11-16 23:17:47 : 2/80 | 14/67: 0.06532
2024-11-16 23:17:49 : 2/80 | 15/67: 0.03357
2024-11-16 23:17:51 : 2/80 | 16/67: 0.10353
2024-11-16 23:17:52 : 2/80 | 17/67: 0.03066
2024-11-16 23:17:54 : 2/80 | 18/67: 0.08095
2024-11-16 23:17:55 : 2/80 | 19/67: 0.06124
2024-11-16 23:17:57 : 2/80 | 20/67: 0.05128
2024-11-16 23:17:58 : 2/80 | 21/67: 0.08252
2024-11-16 23:18:00 : 2/80 | 22/67: 0.04918
2024-11-16 23:18:02 : 2/80 | 23/67: 0.05760
2024-11-16 23:18:03 : 2/80 | 24/67: 0.05162
2024-11-16 23:18:05 : 2/80 | 25/67: 0.05499
2024-11-16 23:18:06 : 2/80 | 26/67: 0.05507
2024-11-16 23:18:08 : 2/80 | 27/67: 0.07313
2024-11-16 23:18:10 : 2/80 | 28/67: 0.03854
2024-11-16 23:18:11 : 2/80 | 29/67: 0.03544
2024-11-16 23:18:13 : 2/80 | 30/67: 0.04814
2024-11-16 23:18:14 : 2/80 | 31/67: 0.06598
2024-11-16 23:18:16 : 2/80 | 32/67: 0.05906
2024-11-16 23:18:17 : 2/80 | 33/67: 0.04427
2024-11-16 23:18:19 : 2/80 | 34/67: 0.09631
2024-11-16 23:18:20 : 2/80 | 35/67: 0.03735
2024-11-16 23:18:22 : 2/80 | 36/67: 0.03295
2024-11-16 23:18:24 : 2/80 | 37/67: 0.08237
2024-11-16 23:18:25 : 2/80 | 38/67: 0.07024
2024-11-16 23:18:27 : 2/80 | 39/67: 0.03351
2024-11-16 23:18:28 : 2/80 | 40/67: 0.04980
2024-11-16 23:18:30 : 2/80 | 41/67: 0.03147
2024-11-16 23:18:31 : 2/80 | 42/67: 0.06415
2024-11-16 23:18:33 : 2/80 | 43/67: 0.04435
2024-11-16 23:18:34 : 2/80 | 44/67: 0.10161
2024-11-16 23:18:36 : 2/80 | 45/67: 0.03785
2024-11-16 23:18:38 : 2/80 | 46/67: 0.04371
2024-11-16 23:18:39 : 2/80 | 47/67: 0.04695
2024-11-16 23:18:41 : 2/80 | 48/67: 0.04550
2024-11-16 23:18:42 : 2/80 | 49/67: 0.04318
2024-11-16 23:18:44 : 2/80 | 50/67: 0.03466
2024-11-16 23:18:45 : 2/80 | 51/67: 0.04600
2024-11-16 23:18:47 : 2/80 | 52/67: 0.06843
2024-11-16 23:18:49 : 2/80 | 53/67: 0.04528
2024-11-16 23:18:50 : 2/80 | 54/67: 0.04541
2024-11-16 23:18:52 : 2/80 | 55/67: 0.03464
2024-11-16 23:18:53 : 2/80 | 56/67: 0.02164
2024-11-16 23:18:55 : 2/80 | 57/67: 0.02873
2024-11-16 23:18:56 : 2/80 | 58/67: 0.04172
2024-11-16 23:18:58 : 2/80 | 59/67: 0.05774
2024-11-16 23:19:00 : 2/80 | 60/67: 0.02799
2024-11-16 23:19:01 : 2/80 | 61/67: 0.04170
2024-11-16 23:19:03 : 2/80 | 62/67: 0.06074
2024-11-16 23:19:04 : 2/80 | 63/67: 0.06165
2024-11-16 23:19:06 : 2/80 | 64/67: 0.05497
2024-11-16 23:19:08 : 2/80 | 65/67: 0.06260
2024-11-16 23:19:09 : 2/80 | 66/67: 0.02953
2024-11-16 23:19:40 : 2: Evaluation loss: 0.18466 | Pearson: 0.77600 | QWK:  0.51100
2024-11-16 23:19:42 : 3/80 | 0/67: 0.07289
2024-11-16 23:19:43 : 3/80 | 1/67: 0.07141
2024-11-16 23:19:45 : 3/80 | 2/67: 0.04151
2024-11-16 23:19:46 : 3/80 | 3/67: 0.05944
2024-11-16 23:19:48 : 3/80 | 4/67: 0.07683
2024-11-16 23:19:49 : 3/80 | 5/67: 0.05525
2024-11-16 23:19:51 : 3/80 | 6/67: 0.03089
2024-11-16 23:19:53 : 3/80 | 7/67: 0.06825
2024-11-16 23:19:54 : 3/80 | 8/67: 0.03417
2024-11-16 23:19:56 : 3/80 | 9/67: 0.07537
2024-11-16 23:19:57 : 3/80 | 10/67: 0.09091
2024-11-16 23:19:59 : 3/80 | 11/67: 0.04410
2024-11-16 23:20:01 : 3/80 | 12/67: 0.02242
2024-11-16 23:20:02 : 3/80 | 13/67: 0.02274
2024-11-16 23:20:04 : 3/80 | 14/67: 0.04948
2024-11-16 23:20:05 : 3/80 | 15/67: 0.02190
2024-11-16 23:20:07 : 3/80 | 16/67: 0.03066
2024-11-16 23:20:08 : 3/80 | 17/67: 0.02621
2024-11-16 23:20:10 : 3/80 | 18/67: 0.06562
2024-11-16 23:20:12 : 3/80 | 19/67: 0.03591
2024-11-16 23:20:13 : 3/80 | 20/67: 0.03778
2024-11-16 23:20:15 : 3/80 | 21/67: 0.03010
2024-11-16 23:20:16 : 3/80 | 22/67: 0.02036
2024-11-16 23:20:18 : 3/80 | 23/67: 0.02699
2024-11-16 23:20:20 : 3/80 | 24/67: 0.03007
2024-11-16 23:20:21 : 3/80 | 25/67: 0.01664
2024-11-16 23:20:23 : 3/80 | 26/67: 0.04115
2024-11-16 23:20:24 : 3/80 | 27/67: 0.02084
2024-11-16 23:20:26 : 3/80 | 28/67: 0.02597
2024-11-16 23:20:27 : 3/80 | 29/67: 0.03872
2024-11-16 23:20:29 : 3/80 | 30/67: 0.03230
2024-11-16 23:20:31 : 3/80 | 31/67: 0.02610
2024-11-16 23:20:32 : 3/80 | 32/67: 0.04565
2024-11-16 23:20:34 : 3/80 | 33/67: 0.04733
2024-11-16 23:20:35 : 3/80 | 34/67: 0.03988
2024-11-16 23:20:37 : 3/80 | 35/67: 0.03594
2024-11-16 23:20:38 : 3/80 | 36/67: 0.02304
2024-11-16 23:20:40 : 3/80 | 37/67: 0.04819
2024-11-16 23:20:41 : 3/80 | 38/67: 0.01880
2024-11-16 23:20:43 : 3/80 | 39/67: 0.02582
2024-11-16 23:20:45 : 3/80 | 40/67: 0.04816
2024-11-16 23:20:46 : 3/80 | 41/67: 0.01390
2024-11-16 23:20:48 : 3/80 | 42/67: 0.02104
2024-11-16 23:20:49 : 3/80 | 43/67: 0.02566
2024-11-16 23:20:51 : 3/80 | 44/67: 0.02092
2024-11-16 23:20:52 : 3/80 | 45/67: 0.02465
2024-11-16 23:20:54 : 3/80 | 46/67: 0.03139
2024-11-16 23:20:55 : 3/80 | 47/67: 0.03852
2024-11-16 23:20:57 : 3/80 | 48/67: 0.03369
2024-11-16 23:20:59 : 3/80 | 49/67: 0.03381
2024-11-16 23:21:00 : 3/80 | 50/67: 0.02015
2024-11-16 23:21:02 : 3/80 | 51/67: 0.04248
2024-11-16 23:21:03 : 3/80 | 52/67: 0.03412
2024-11-16 23:21:05 : 3/80 | 53/67: 0.02017
2024-11-16 23:21:07 : 3/80 | 54/67: 0.05401
2024-11-16 23:21:08 : 3/80 | 55/67: 0.05940
2024-11-16 23:21:10 : 3/80 | 56/67: 0.03754
2024-11-16 23:21:11 : 3/80 | 57/67: 0.03026
2024-11-16 23:21:13 : 3/80 | 58/67: 0.01696
2024-11-16 23:21:14 : 3/80 | 59/67: 0.01094
2024-11-16 23:21:16 : 3/80 | 60/67: 0.03446
2024-11-16 23:21:18 : 3/80 | 61/67: 0.05495
2024-11-16 23:21:19 : 3/80 | 62/67: 0.04092
2024-11-16 23:21:21 : 3/80 | 63/67: 0.03177
2024-11-16 23:21:22 : 3/80 | 64/67: 0.01768
2024-11-16 23:21:24 : 3/80 | 65/67: 0.02861
2024-11-16 23:21:25 : 3/80 | 66/67: 0.04059
2024-11-16 23:21:56 : 3: Evaluation loss: 0.16161 | Pearson: 0.79500 | QWK:  0.61700
2024-11-16 23:21:56 : Saving model p6.pt on epoch 3 (0.16161 is the new best loss!)
2024-11-16 23:22:09 : 4/80 | 0/67: 0.05822
2024-11-16 23:22:11 : 4/80 | 1/67: 0.04234
2024-11-16 23:22:12 : 4/80 | 2/67: 0.02341
2024-11-16 23:22:14 : 4/80 | 3/67: 0.03281
2024-11-16 23:22:16 : 4/80 | 4/67: 0.03006
2024-11-16 23:22:17 : 4/80 | 5/67: 0.04038
2024-11-16 23:22:19 : 4/80 | 6/67: 0.04015
2024-11-16 23:22:20 : 4/80 | 7/67: 0.03213
2024-11-16 23:22:22 : 4/80 | 8/67: 0.01750
2024-11-16 23:22:23 : 4/80 | 9/67: 0.03496
2024-11-16 23:22:25 : 4/80 | 10/67: 0.03372
2024-11-16 23:22:27 : 4/80 | 11/67: 0.01998
2024-11-16 23:22:28 : 4/80 | 12/67: 0.01331
2024-11-16 23:22:30 : 4/80 | 13/67: 0.02799
2024-11-16 23:22:31 : 4/80 | 14/67: 0.04106
2024-11-16 23:22:33 : 4/80 | 15/67: 0.02707
2024-11-16 23:22:35 : 4/80 | 16/67: 0.02964
2024-11-16 23:22:36 : 4/80 | 17/67: 0.01886
2024-11-16 23:22:38 : 4/80 | 18/67: 0.03283
2024-11-16 23:22:39 : 4/80 | 19/67: 0.02130
2024-11-16 23:22:41 : 4/80 | 20/67: 0.03254
2024-11-16 23:22:43 : 4/80 | 21/67: 0.01794
2024-11-16 23:22:44 : 4/80 | 22/67: 0.01891
2024-11-16 23:22:46 : 4/80 | 23/67: 0.05278
2024-11-16 23:22:47 : 4/80 | 24/67: 0.01780
2024-11-16 23:22:49 : 4/80 | 25/67: 0.02329
2024-11-16 23:22:50 : 4/80 | 26/67: 0.03428
2024-11-16 23:22:52 : 4/80 | 27/67: 0.02733
2024-11-16 23:22:54 : 4/80 | 28/67: 0.01742
2024-11-16 23:22:55 : 4/80 | 29/67: 0.04164
2024-11-16 23:22:57 : 4/80 | 30/67: 0.03849
2024-11-16 23:22:58 : 4/80 | 31/67: 0.01432
2024-11-16 23:23:00 : 4/80 | 32/67: 0.00998
2024-11-16 23:23:01 : 4/80 | 33/67: 0.03980
2024-11-16 23:23:03 : 4/80 | 34/67: 0.03549
2024-11-16 23:23:05 : 4/80 | 35/67: 0.01422
2024-11-16 23:23:06 : 4/80 | 36/67: 0.02004
2024-11-16 23:23:08 : 4/80 | 37/67: 0.01759
2024-11-16 23:23:09 : 4/80 | 38/67: 0.01511
2024-11-16 23:23:11 : 4/80 | 39/67: 0.02685
2024-11-16 23:23:13 : 4/80 | 40/67: 0.01855
2024-11-16 23:23:14 : 4/80 | 41/67: 0.03057
2024-11-16 23:23:16 : 4/80 | 42/67: 0.01277
2024-11-16 23:23:17 : 4/80 | 43/67: 0.03232
2024-11-16 23:23:19 : 4/80 | 44/67: 0.02455
2024-11-16 23:23:20 : 4/80 | 45/67: 0.00874
2024-11-16 23:23:22 : 4/80 | 46/67: 0.02174
2024-11-16 23:23:23 : 4/80 | 47/67: 0.01282
2024-11-16 23:23:25 : 4/80 | 48/67: 0.02007
2024-11-16 23:23:27 : 4/80 | 49/67: 0.01869
2024-11-16 23:23:28 : 4/80 | 50/67: 0.02361
2024-11-16 23:23:30 : 4/80 | 51/67: 0.00946
2024-11-16 23:23:31 : 4/80 | 52/67: 0.02307
2024-11-16 23:23:33 : 4/80 | 53/67: 0.05473
2024-11-16 23:23:35 : 4/80 | 54/67: 0.01834
2024-11-16 23:23:36 : 4/80 | 55/67: 0.02822
2024-11-16 23:23:38 : 4/80 | 56/67: 0.02240
2024-11-16 23:23:39 : 4/80 | 57/67: 0.01696
2024-11-16 23:23:41 : 4/80 | 58/67: 0.02378
2024-11-16 23:23:43 : 4/80 | 59/67: 0.01340
2024-11-16 23:23:44 : 4/80 | 60/67: 0.01762
2024-11-16 23:23:46 : 4/80 | 61/67: 0.03006
2024-11-16 23:23:47 : 4/80 | 62/67: 0.02716
2024-11-16 23:23:49 : 4/80 | 63/67: 0.02766
2024-11-16 23:23:51 : 4/80 | 64/67: 0.03227
2024-11-16 23:23:52 : 4/80 | 65/67: 0.02230
2024-11-16 23:23:54 : 4/80 | 66/67: 0.02142
2024-11-16 23:24:24 : 4: Evaluation loss: 0.16161 | Pearson: 0.80100 | QWK:  0.64600
2024-11-16 23:24:26 : 5/80 | 0/67: 0.04825
2024-11-16 23:24:27 : 5/80 | 1/67: 0.04464
2024-11-16 23:24:29 : 5/80 | 2/67: 0.01790
2024-11-16 23:24:31 : 5/80 | 3/67: 0.04674
2024-11-16 23:24:32 : 5/80 | 4/67: 0.04920
2024-11-16 23:24:34 : 5/80 | 5/67: 0.02688
2024-11-16 23:24:35 : 5/80 | 6/67: 0.02913
2024-11-16 23:24:37 : 5/80 | 7/67: 0.01618
2024-11-16 23:24:38 : 5/80 | 8/67: 0.01135
2024-11-16 23:24:40 : 5/80 | 9/67: 0.02189
2024-11-16 23:24:42 : 5/80 | 10/67: 0.03280
2024-11-16 23:24:43 : 5/80 | 11/67: 0.01606
2024-11-16 23:24:45 : 5/80 | 12/67: 0.02773
2024-11-16 23:24:46 : 5/80 | 13/67: 0.01947
2024-11-16 23:24:48 : 5/80 | 14/67: 0.01460
2024-11-16 23:24:50 : 5/80 | 15/67: 0.02965
2024-11-16 23:24:51 : 5/80 | 16/67: 0.01439
2024-11-16 23:24:53 : 5/80 | 17/67: 0.00988
2024-11-16 23:24:54 : 5/80 | 18/67: 0.01443
2024-11-16 23:24:56 : 5/80 | 19/67: 0.02207
2024-11-16 23:24:58 : 5/80 | 20/67: 0.01796
2024-11-16 23:24:59 : 5/80 | 21/67: 0.02099
2024-11-16 23:25:01 : 5/80 | 22/67: 0.01268
2024-11-16 23:25:02 : 5/80 | 23/67: 0.01674
2024-11-16 23:25:04 : 5/80 | 24/67: 0.01721
2024-11-16 23:25:06 : 5/80 | 25/67: 0.02053
2024-11-16 23:25:07 : 5/80 | 26/67: 0.01597
2024-11-16 23:25:09 : 5/80 | 27/67: 0.02651
2024-11-16 23:25:10 : 5/80 | 28/67: 0.01723
2024-11-16 23:25:12 : 5/80 | 29/67: 0.01633
2024-11-16 23:25:13 : 5/80 | 30/67: 0.02104
2024-11-16 23:25:15 : 5/80 | 31/67: 0.01332
2024-11-16 23:25:17 : 5/80 | 32/67: 0.02275
