2024-11-16 23:15:24 : ===================== 2024-11-16T23:15:24.496431 =====================
2024-11-16 23:15:24 : ===================== FINE-TUNING ON PROMPT 2 =====================
2024-11-16 23:15:24 : Settings: Namespace(data='init/asap_5_splits.csv', bert_model_path='../../../ix/ix_models/Multi-Scale-BERT-AES-Models/p8_3', chunk_sizes='90_30_130_10', prompt=[2], batch_size=16, epochs=80, sample=-1, learning_rate=6e-05, result_file='results/finetune/p2.txt', save_model='../../../ix/ix_models/Multi-Scale-BERT-AES-Models/p2/p2.pt', device='cuda', log=PosixPath('logs/finetune-p2.log'), comment='Using google-bert/bert-base-uncased. Removed the direct path to their finetuned word and chunk models.')
2024-11-16 23:15:24 : Additional Comments: Using google-bert/bert-base-uncased. Removed the direct path to their finetuned word and chunk models.
2024-11-16 23:15:28 : Train/Eval/Test: 1083/350/367
2024-11-16 23:15:28 : Started training loop for p2.pt
2024-11-16 23:15:32 : 1/80 | 0/68: 8.10925
2024-11-16 23:15:34 : 1/80 | 1/68: 2.26518
2024-11-16 23:15:36 : 1/80 | 2/68: 0.82792
2024-11-16 23:15:38 : 1/80 | 3/68: 0.19029
2024-11-16 23:15:41 : 1/80 | 4/68: 0.48026
2024-11-16 23:15:43 : 1/80 | 5/68: 0.48771
2024-11-16 23:15:45 : 1/80 | 6/68: 0.33884
2024-11-16 23:15:47 : 1/80 | 7/68: 0.22108
2024-11-16 23:15:49 : 1/80 | 8/68: 0.25314
2024-11-16 23:15:51 : 1/80 | 9/68: 0.18937
2024-11-16 23:15:54 : 1/80 | 10/68: 0.11003
2024-11-16 23:15:56 : 1/80 | 11/68: 0.17254
2024-11-16 23:15:58 : 1/80 | 12/68: 0.24914
2024-11-16 23:16:00 : 1/80 | 13/68: 0.24901
2024-11-16 23:16:03 : 1/80 | 14/68: 0.23445
2024-11-16 23:16:05 : 1/80 | 15/68: 0.16293
2024-11-16 23:16:07 : 1/80 | 16/68: 0.23073
2024-11-16 23:16:09 : 1/80 | 17/68: 0.23201
2024-11-16 23:16:11 : 1/80 | 18/68: 0.25194
2024-11-16 23:16:13 : 1/80 | 19/68: 0.16451
2024-11-16 23:16:16 : 1/80 | 20/68: 0.21886
2024-11-16 23:16:18 : 1/80 | 21/68: 0.15584
2024-11-16 23:16:20 : 1/80 | 22/68: 0.14163
2024-11-16 23:16:22 : 1/80 | 23/68: 0.23668
2024-11-16 23:16:24 : 1/80 | 24/68: 0.21607
2024-11-16 23:16:26 : 1/80 | 25/68: 0.16992
2024-11-16 23:16:28 : 1/80 | 26/68: 0.14760
2024-11-16 23:16:31 : 1/80 | 27/68: 0.08641
2024-11-16 23:16:33 : 1/80 | 28/68: 0.07430
2024-11-16 23:16:35 : 1/80 | 29/68: 0.07901
2024-11-16 23:16:37 : 1/80 | 30/68: 0.07076
2024-11-16 23:16:39 : 1/80 | 31/68: 0.08079
2024-11-16 23:16:41 : 1/80 | 32/68: 0.17267
2024-11-16 23:16:43 : 1/80 | 33/68: 0.15770
2024-11-16 23:16:45 : 1/80 | 34/68: 0.19527
2024-11-16 23:16:47 : 1/80 | 35/68: 0.19073
2024-11-16 23:16:50 : 1/80 | 36/68: 0.12586
2024-11-16 23:16:52 : 1/80 | 37/68: 0.23970
2024-11-16 23:16:54 : 1/80 | 38/68: 0.16841
2024-11-16 23:16:56 : 1/80 | 39/68: 0.11921
2024-11-16 23:16:58 : 1/80 | 40/68: 0.15748
2024-11-16 23:17:01 : 1/80 | 41/68: 0.13411
2024-11-16 23:17:03 : 1/80 | 42/68: 0.09329
2024-11-16 23:17:05 : 1/80 | 43/68: 0.08525
2024-11-16 23:17:07 : 1/80 | 44/68: 0.06327
2024-11-16 23:17:10 : 1/80 | 45/68: 0.14016
2024-11-16 23:17:12 : 1/80 | 46/68: 0.06866
2024-11-16 23:17:14 : 1/80 | 47/68: 0.07207
2024-11-16 23:17:16 : 1/80 | 48/68: 0.07589
2024-11-16 23:17:19 : 1/80 | 49/68: 0.07387
2024-11-16 23:17:21 : 1/80 | 50/68: 0.11405
2024-11-16 23:17:23 : 1/80 | 51/68: 0.19244
2024-11-16 23:17:25 : 1/80 | 52/68: 0.12703
2024-11-16 23:17:27 : 1/80 | 53/68: 0.08253
2024-11-16 23:17:30 : 1/80 | 54/68: 0.05367
2024-11-16 23:17:32 : 1/80 | 55/68: 0.07114
2024-11-16 23:17:34 : 1/80 | 56/68: 0.06815
2024-11-16 23:17:36 : 1/80 | 57/68: 0.06626
2024-11-16 23:17:38 : 1/80 | 58/68: 0.08455
2024-11-16 23:17:40 : 1/80 | 59/68: 0.05174
2024-11-16 23:17:42 : 1/80 | 60/68: 0.07166
2024-11-16 23:17:44 : 1/80 | 61/68: 0.02506
2024-11-16 23:17:47 : 1/80 | 62/68: 0.03741
2024-11-16 23:17:49 : 1/80 | 63/68: 0.05854
2024-11-16 23:17:51 : 1/80 | 64/68: 0.02712
2024-11-16 23:17:53 : 1/80 | 65/68: 0.04217
2024-11-16 23:17:55 : 1/80 | 66/68: 0.03061
2024-11-16 23:17:58 : 1/80 | 67/68: 0.07200
2024-11-16 23:18:43 : 1: Evaluation loss: 0.17581 | Pearson: 0.74100 | QWK:  0.64200
2024-11-16 23:18:43 : Saving model p2.pt on epoch 1 (0.17581 is the new best loss!)
2024-11-16 23:18:53 : 2/80 | 0/68: 0.42329
2024-11-16 23:18:56 : 2/80 | 1/68: 0.30647
2024-11-16 23:18:58 : 2/80 | 2/68: 0.23334
2024-11-16 23:19:00 : 2/80 | 3/68: 0.16426
2024-11-16 23:19:02 : 2/80 | 4/68: 0.08906
2024-11-16 23:19:04 : 2/80 | 5/68: 0.06966
2024-11-16 23:19:07 : 2/80 | 6/68: 0.10640
2024-11-16 23:19:09 : 2/80 | 7/68: 0.05437
2024-11-16 23:19:11 : 2/80 | 8/68: 0.06894
2024-11-16 23:19:13 : 2/80 | 9/68: 0.06812
2024-11-16 23:19:15 : 2/80 | 10/68: 0.11677
2024-11-16 23:19:17 : 2/80 | 11/68: 0.10969
2024-11-16 23:19:20 : 2/80 | 12/68: 0.10243
2024-11-16 23:19:22 : 2/80 | 13/68: 0.07354
2024-11-16 23:19:24 : 2/80 | 14/68: 0.06913
