2024-11-16 23:15:24 : ===================== 2024-11-16T23:15:24.497332 =====================
2024-11-16 23:15:24 : ===================== FINE-TUNING ON PROMPT 3 =====================
2024-11-16 23:15:24 : Settings: Namespace(data='init/asap_5_splits.csv', bert_model_path='../../../ix/ix_models/Multi-Scale-BERT-AES-Models/p8_3', chunk_sizes='90_30_130_10', prompt=[3], batch_size=16, epochs=80, sample=-1, learning_rate=6e-05, result_file='results/finetune/p3.txt', save_model='../../../ix/ix_models/Multi-Scale-BERT-AES-Models/p3/p3.pt', device='cuda', log=PosixPath('logs/finetune-p3.log'), comment='Using google-bert/bert-base-uncased. Removed the direct path to their finetuned word and chunk models.')
2024-11-16 23:15:24 : Additional Comments: Using google-bert/bert-base-uncased. Removed the direct path to their finetuned word and chunk models.
2024-11-16 23:15:28 : Train/Eval/Test: 1055/336/335
2024-11-16 23:15:28 : Started training loop for p3.pt
2024-11-16 23:15:32 : 1/80 | 0/66: 0.86877
2024-11-16 23:15:33 : 1/80 | 1/66: 0.28372
2024-11-16 23:15:35 : 1/80 | 2/66: 0.36664
2024-11-16 23:15:36 : 1/80 | 3/66: 0.19316
2024-11-16 23:15:38 : 1/80 | 4/66: 0.10226
2024-11-16 23:15:40 : 1/80 | 5/66: 0.15550
2024-11-16 23:15:41 : 1/80 | 6/66: 0.26430
2024-11-16 23:15:43 : 1/80 | 7/66: 0.09988
2024-11-16 23:15:44 : 1/80 | 8/66: 0.16146
2024-11-16 23:15:46 : 1/80 | 9/66: 0.15249
2024-11-16 23:15:47 : 1/80 | 10/66: 0.18462
2024-11-16 23:15:49 : 1/80 | 11/66: 0.11270
2024-11-16 23:15:50 : 1/80 | 12/66: 0.12356
2024-11-16 23:15:52 : 1/80 | 13/66: 0.09032
2024-11-16 23:15:53 : 1/80 | 14/66: 0.12744
2024-11-16 23:15:55 : 1/80 | 15/66: 0.17115
2024-11-16 23:15:56 : 1/80 | 16/66: 0.07971
2024-11-16 23:15:58 : 1/80 | 17/66: 0.25231
2024-11-16 23:15:59 : 1/80 | 18/66: 0.10756
2024-11-16 23:16:01 : 1/80 | 19/66: 0.10208
2024-11-16 23:16:02 : 1/80 | 20/66: 0.08174
2024-11-16 23:16:04 : 1/80 | 21/66: 0.05824
2024-11-16 23:16:05 : 1/80 | 22/66: 0.05433
2024-11-16 23:16:07 : 1/80 | 23/66: 0.09993
2024-11-16 23:16:08 : 1/80 | 24/66: 0.10597
2024-11-16 23:16:10 : 1/80 | 25/66: 0.10528
2024-11-16 23:16:11 : 1/80 | 26/66: 0.09415
2024-11-16 23:16:13 : 1/80 | 27/66: 0.07502
2024-11-16 23:16:14 : 1/80 | 28/66: 0.05418
2024-11-16 23:16:16 : 1/80 | 29/66: 0.07332
2024-11-16 23:16:17 : 1/80 | 30/66: 0.11356
2024-11-16 23:16:18 : 1/80 | 31/66: 0.08960
2024-11-16 23:16:20 : 1/80 | 32/66: 0.08889
2024-11-16 23:16:21 : 1/80 | 33/66: 0.07508
2024-11-16 23:16:23 : 1/80 | 34/66: 0.06209
2024-11-16 23:16:24 : 1/80 | 35/66: 0.08617
2024-11-16 23:16:26 : 1/80 | 36/66: 0.06311
2024-11-16 23:16:27 : 1/80 | 37/66: 0.04237
2024-11-16 23:16:29 : 1/80 | 38/66: 0.04369
2024-11-16 23:16:30 : 1/80 | 39/66: 0.06384
2024-11-16 23:16:32 : 1/80 | 40/66: 0.09067
2024-11-16 23:16:33 : 1/80 | 41/66: 0.05868
2024-11-16 23:16:35 : 1/80 | 42/66: 0.05192
2024-11-16 23:16:36 : 1/80 | 43/66: 0.12929
2024-11-16 23:16:38 : 1/80 | 44/66: 0.08380
2024-11-16 23:16:39 : 1/80 | 45/66: 0.10609
2024-11-16 23:16:40 : 1/80 | 46/66: 0.11982
2024-11-16 23:16:42 : 1/80 | 47/66: 0.11552
2024-11-16 23:16:43 : 1/80 | 48/66: 0.10115
2024-11-16 23:16:45 : 1/80 | 49/66: 0.10353
2024-11-16 23:16:46 : 1/80 | 50/66: 0.10211
2024-11-16 23:16:48 : 1/80 | 51/66: 0.10988
2024-11-16 23:16:49 : 1/80 | 52/66: 0.11790
2024-11-16 23:16:51 : 1/80 | 53/66: 0.12566
2024-11-16 23:16:52 : 1/80 | 54/66: 0.11649
2024-11-16 23:16:53 : 1/80 | 55/66: 0.09176
2024-11-16 23:16:55 : 1/80 | 56/66: 0.07792
2024-11-16 23:16:56 : 1/80 | 57/66: 0.10486
2024-11-16 23:16:58 : 1/80 | 58/66: 0.03954
2024-11-16 23:16:59 : 1/80 | 59/66: 0.04559
2024-11-16 23:17:01 : 1/80 | 60/66: 0.07990
2024-11-16 23:17:02 : 1/80 | 61/66: 0.09648
2024-11-16 23:17:04 : 1/80 | 62/66: 0.08415
2024-11-16 23:17:05 : 1/80 | 63/66: 0.07562
2024-11-16 23:17:07 : 1/80 | 64/66: 0.10458
2024-11-16 23:17:08 : 1/80 | 65/66: 0.07848
2024-11-16 23:17:34 : 1: Evaluation loss: 0.24079 | Pearson: 0.59200 | QWK:  0.39100
2024-11-16 23:17:34 : Saving model p3.pt on epoch 1 (0.24079 is the new best loss!)
2024-11-16 23:17:37 : 2/80 | 0/66: 0.07872
2024-11-16 23:17:39 : 2/80 | 1/66: 0.26050
2024-11-16 23:17:40 : 2/80 | 2/66: 0.14110
2024-11-16 23:17:42 : 2/80 | 3/66: 0.06608
2024-11-16 23:17:43 : 2/80 | 4/66: 0.08101
2024-11-16 23:17:45 : 2/80 | 5/66: 0.04757
2024-11-16 23:17:46 : 2/80 | 6/66: 0.05427
2024-11-16 23:17:48 : 2/80 | 7/66: 0.11121
2024-11-16 23:17:49 : 2/80 | 8/66: 0.03774
2024-11-16 23:17:51 : 2/80 | 9/66: 0.04376
2024-11-16 23:17:52 : 2/80 | 10/66: 0.06051
2024-11-16 23:17:54 : 2/80 | 11/66: 0.06807
2024-11-16 23:17:55 : 2/80 | 12/66: 0.05290
2024-11-16 23:17:57 : 2/80 | 13/66: 0.02873
2024-11-16 23:17:58 : 2/80 | 14/66: 0.07897
2024-11-16 23:17:59 : 2/80 | 15/66: 0.02801
2024-11-16 23:18:01 : 2/80 | 16/66: 0.03475
2024-11-16 23:18:02 : 2/80 | 17/66: 0.06996
2024-11-16 23:18:04 : 2/80 | 18/66: 0.06066
2024-11-16 23:18:06 : 2/80 | 19/66: 0.04959
2024-11-16 23:18:07 : 2/80 | 20/66: 0.05168
2024-11-16 23:18:09 : 2/80 | 21/66: 0.04308
2024-11-16 23:18:10 : 2/80 | 22/66: 0.06601
2024-11-16 23:18:12 : 2/80 | 23/66: 0.05297
2024-11-16 23:18:13 : 2/80 | 24/66: 0.02906
2024-11-16 23:18:15 : 2/80 | 25/66: 0.05120
2024-11-16 23:18:16 : 2/80 | 26/66: 0.03669
2024-11-16 23:18:18 : 2/80 | 27/66: 0.04566
2024-11-16 23:18:19 : 2/80 | 28/66: 0.04668
2024-11-16 23:18:21 : 2/80 | 29/66: 0.04161
2024-11-16 23:18:22 : 2/80 | 30/66: 0.03254
2024-11-16 23:18:24 : 2/80 | 31/66: 0.04010
2024-11-16 23:18:25 : 2/80 | 32/66: 0.02799
